name,description
Sofas & Armchairs,Comfortable vintage sofas and armchairs for every living space.
Outdoor Furniture,Weather-resistant vintage furniture for patios and gardens.
Storage Furniture,Bookshelves, cabinets, and storage units to keep your home organized.
Beds & Mattresses,Vintage bed frames and headboards for a restful retreat.
Rugs & Home Textiles,Handwoven rugs, cushions, and textiles for a cozy home.
Tables & Chairs,Dining tables, coffee tables, and chairs for every room.
Home Decor,Mirrors, vases, and decorative accessories for your home.
Lighting,Floor lamps, table lamps, and pendant lights.
Bathroom Furniture,Vintage bathroom cabinets and storage solutions.
Desk & Desk Chairs,Writing desks and office chairs for a productive workspace.
Pots & Plants,Planters, pots, and indoor plants for a green home.
Window Treatments,Curtains, blinds, and window accessories.