name,description,price,stock,category,image
Woven Seagrass Floor Basket,A large handwoven seagrass floor basket with handles. Ideal for storing blankets,79.99,24,Storage Furniture,https://images.unsplash.com/photo-1674473919007-06576be5d0d3?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Elm Wood Dining Table,A solid elm wood dining table with a live-edge top and black steel legs. Seats 6.,1199.99,4,Tables & Chairs,https://images.unsplash.com/photo-1668067516409-f3bb960ab4a2?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Folding Bistro Table,A compact round bistro table in powder-coated steel with a mosaic tile top.,279.99,10,Tables & Chairs,https://plus.unsplash.com/premium_photo-1677646871461-80df119a10d6?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Glass and Brass Console Table,A slim console table with a smoked glass top and antique brass frame.,449.99,6,Tables & Chairs,https://plus.unsplash.com/premium_photo-1706560278067-b3fb6cba1e4c?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Hairpin Leg Side Table,A minimalist side table with a solid oak top and black hairpin legs.,169.99,15,Tables & Chairs,https://images.unsplash.com/photo-1621350597530-02305519e9f6?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Extendable Round Table,A round extendable dining table in white lacquer. Expands from 4 to 8 seats.,1099.99,3,Tables & Chairs,https://images.unsplash.com/photo-1749476101600-90b2eb7efa89?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Chaise Lounge,A sleek chaise lounge upholstered in dusty rose linen with a walnut frame.,1099.99,2,Sofas & Armchairs,https://images.unsplash.com/photo-1760716478282-9d72559112cd?q=80&w=1064&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Papasan Chair,An oversized papasan chair with a thick woven cushion in warm ivory.,449.99,6,Sofas & Armchairs,https://img-us.aosomcdn.com/thumbnail/100/n0/product/2025/05/09/l8y5a2196b2a35700.jpg.webp
Modular Sectional Sofa,Modular Sectional Sofa,2399.99,2,Sofas & Armchairs,https://images.unsplash.com/photo-1565330502541-4937be8552e3?q=80&w=988&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Barrel Chair,A cozy barrel accent chair upholstered in warm cognac boucle with a swivel base.,699.99,5,Sofas & Armchairs,https://images.unsplash.com/photo-1759722667394-000072b59a3a?q=80&w=1054&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rocking Chair,A classic solid oak rocking chair with a cushioned seat in natural linen.,599.99,6,Sofas & Armchairs,https://images.unsplash.com/photo-1585072820698-fe6f41dba127?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Canopy Bed Frame,A romantic four-poster canopy bed frame in solid walnut. Available in Queen and King.,1899.99,3,Beds & Mattresses,https://shoppe.amberinteriordesign.com/cdn/shop/products/shoppe-amber-interiors-5X4A8544-7_1_1512x.jpg?v=1649969430
Upholstered Headboard King,A tall upholstered King-size headboard in deep navy velvet with channel tufting.,449.99,1,Beds & Mattresses,https://images.unsplash.com/photo-1698956696531-b8c7e44653f2?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Trundle Bed Frame,A solid pine trundle bed with a pull-out second bed. Ideal for guest rooms.,849.99,5,Beds & Mattresses,https://images.unsplash.com/photo-1630183477346-685bc849cda6?q=80&w=1064&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Bunk Bed with Desk,A solid wood bunk bed with an integrated desk and shelving below.,1299.99,2,Beds & Mattresses,https://casakids.com/cdn/shop/files/l-shaped-bunk-bed-with-ladder-and-hanging-desk-birch-white-casakids_b059b8dd-4c46-4206-8181-76a9aa2d15f2_2000x.jpg?v=1758928674
Daybed Frame,A versatile daybed frame in black iron that doubles as a sofa. Includes slatted base.,799.99,4,Beds & Mattresses,https://img-us.aosomcdn.com/thumbnail/100/n0/product/2024/10/25/dq637e192c2d96300.jpg.webp
Globe Pendant Light,A large smoked glass globe pendant light with a matte black ceiling rose.,229.99,10,Lighting,https://images.unsplash.com/photo-1770306924359-e03cc4c860e0?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Brass Wall Sconce Set,A set of two antique brass wall sconces with aged linen shades.,199.99,12,Lighting,https://images.unsplash.com/photo-1659100171587-a8a5e9d9417a?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mushroom Table Lamp,A sculptural mushroom-shaped table lamp in warm amber glass with a linen shade.,169.99,15,Lighting,https://images.unsplash.com/photo-1759753874998-5e0182e07af6?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Arc Floor Lamp,A dramatic arc floor lamp with a marble base and adjustable gold arm.,379.99,6,Lighting,https://images.unsplash.com/photo-1726389838683-8ff57378c1c5?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Tripod Floor Lamp,A mid-century modern tripod floor lamp in natural teak with a drum shade.,319.99,7,Lighting,https://images.unsplash.com/photo-1710082777338-dcb6189ae64f?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Pegboard Wall Organizer,A large pine pegboard with 12 hooks and two small shelves. Great for offices and kitchens.,99.99,18,Storage Furniture,https://images.unsplash.com/photo-1720526234765-ad8d166002f8?q=80&w=927&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Ottoman Storage Box,A large upholstered storage ottoman in sage green with a hinged lid.,329.99,5,Storage Furniture,https://images.unsplash.com/photo-1745562294790-e783f3e92d8e?q=80&w=1770&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Cube Shelving Unit,A 9-cube shelving unit in white lacquer. Mix open display with fabric basket storage.,379.99,9,Storage Furniture,https://images.unsplash.com/photo-1768393992748-8e58b9ab321d?q=80&w=1180&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Antique Display Cabinet,A glass-fronted display cabinet in dark mahogany with brass hardware.,949.99,8,Storage Furniture,https://images.unsplash.com/photo-1761472096034-5c228267bef6?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Entryway Shoe Cabinet,A slim shoe cabinet with flip-down doors and a bench seat on top.,299.99,3,Storage Furniture,https://images.unsplash.com/photo-1600422086908-72be2c8f5f3f?q=80&w=986&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Berber Area Rug,A plush Berber-style area rug in cream and warm grey tones.,379.99,7,Rugs & Home Textiles,https://images.unsplash.com/photo-1620230757457-772a4712a926?q=80&w=1015&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Outdoor Area Rug,A flatweave outdoor rug in a bold indigo geometric pattern. UV resistant.,169.99,14,Rugs & Home Textiles,https://images.unsplash.com/photo-1655638591371-4ccec3d56046?q=80&w=1035&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Faux Fur Throw,An ultra-soft faux fur throw in ivory white. Adds instant luxury to any sofa.,109.99,20,Rugs & Home Textiles,https://images.unsplash.com/photo-1627242139059-dad4e1ab1621?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Hand-Embroidered Cushion Set,A set of two linen cushion covers with hand-embroidered floral motifs in terracotta.,84.99,21,Rugs & Home Textiles,https://images.unsplash.com/photo-1650742032309-5f0e1c20abf4?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Chunky Knit Blanket,A hand-knitted chunky wool blanket in oatmeal white. Perfect for cold evenings.,139.99,16,Rugs & Home Textiles,https://plus.unsplash.com/premium_photo-1664033881717-1980c19d9ade?q=80&w=1064&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Roman Blind,A classic Roman blind in natural flax linen. Easy to install and operate.,99.99,17,Window Treatments,https://www.direct-fabrics.co.uk/media/catalog/product/cache/65a66a69886091754797701695bfa85a/r/o/roman-blinds-made-with-roman-blind-kits.png
Bamboo Roller Blind,A natural bamboo roller blind that filters light beautifully. Eco-friendly.,74.99,22,Window Treatments,https://images.unsplash.com/photo-1767798614035-31557222ddfd?q=80&w=1036&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Velvet Blackout Curtains,A pair of deep forest green velvet blackout curtains. Blocks light completely.,159.99,14,Window Treatments,https://images.unsplash.com/photo-1640292767657-3c817244f77b?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Eyelet Curtains Blush,A pair of lined eyelet curtains in soft blush pink. Ready to hang.,89.99,20,Window Treatments,https://images.unsplash.com/photo-1771039621800-fb28e227575c?q=80&w=1051&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Jute Curtain Tie Backs,A set of two natural jute rope curtain tie backs with wooden rings.,29.99,35,Window Treatments,https://images.unsplash.com/photo-1673845749526-0787b858f226?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Tall Standing Planter,A floor-standing planter in matte black powder-coated steel with tapered legs.,94.99,16,Pots & Plants,https://images.unsplash.com/photo-1661916123448-116815d2f40b?q=80&w=988&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Self-Watering Ceramic Planter,A modern self-watering planter in speckled white ceramic with a drainage system.,59.99,22,Pots & Plants,https://images.unsplash.com/photo-1685453628585-2b338030ae64?q=80&w=927&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Woven Seagrass Plant Basket Set,A set of three woven seagrass plant baskets in graduated sizes with handles.,49.99,28,Pots & Plants,https://images.unsplash.com/photo-1730904713929-a08a8f0c80cc?q=80&w=1064&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Window Herb Garden Kit,A three-pot terracotta herb garden kit with a solid wood tray. Grow herbs indoors.,44.99,25,Pots & Plants,https://i5.walmartimages.com/seo/PERFNIQUE-Indoor-Herb-Garden-Garden-Planter-Indoor-Outdoor-Farmhouse-Plant-Pots-Windowsill-Kit-Tray-Window-Pots-Plants-Galvanized_31ffda9b-f09b-481f-9d89-2bafabec8ea0.39bfb8f0b63705fc3d2f193dfc9d06d8.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF
Hanging Glass Terrarium,A geometric hanging glass terrarium for air plants and succulents. Brass frame.,54.99,20,Pots & Plants,https://images.unsplash.com/photo-1669655546865-7ca0c89f3c50?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Bathroom Mirror Cabinet,A wall-mounted bathroom mirror cabinet with LED lighting and two interior shelves.,329.99,7,Bathroom Furniture & Storage,https://images.unsplash.com/photo-1763485956294-407e7388f63b?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Teak Bath Caddy,"A solid teak bath caddy with adjustable width, book rest, and soap dish.",139.99,11,Bathroom Furniture & Storage,https://images.unsplash.com/photo-1700918232124-f64da19e73eb?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Chrome Towel Ladder,A freestanding chrome towel ladder rack. Holds up to four towels. Slim and modern.,109.99,14,Bathroom Furniture & Storage,https://images.unsplash.com/photo-1700922521202-9735ef158f8f?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Compact Bathroom Vanity,"A compact bathroom vanity unit with ceramic basin, two drawers, and chrome taps.",649.99,4,Bathroom Furniture & Storage,https://images.unsplash.com/photo-1712215282898-0284acc325fc?q=80&w=1525&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rattan Laundry Basket,A large oval rattan laundry basket with a removable cotton liner and lid.,124.99,13,Bathroom Furniture & Storage,https://images.unsplash.com/photo-1730712923526-dc7043c6de96?q=80&w=1035&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Standing Desk,A height-adjustable electric standing desk in white. Switches between sit and stand.,949.99,4,Desk & Desk Chairs,https://images.unsplash.com/photo-1622126756000-9fb7f6ed9f06?q=80&w=1770&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Drafting Table,A classic artist drafting table with adjustable angle top and built-in ruler.,579.99,5,Desk & Desk Chairs,https://camposironworks.com/cdn/shop/files/P1018257.jpg?v=1690417365&width=1646
L-Shaped Corner Desk,An L-shaped corner desk in natural oak veneer with built-in cable management.,529.99,9,Desk & Desk Chairs,https://tribesigns.com/cdn/shop/files/67-l-shaped-desk-industrial-reversible-computer-corner-desk-213127.jpg?v=1728984531&width=1300
Floating Wall Desk,A compact fold-down wall-mounted desk in natural pine. Perfect for small spaces.,269.99,4,Desk & Desk Chairs,https://images.unsplash.com/photo-1651052103405-463df24fe36c?q=80&w=1180&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Leather Executive Chair,A classic leather executive desk chair with padded armrests and lumbar support.,729.99,2,Desk & Desk Chairs,https://images.unsplash.com/photo-1764410481612-7544525b2991?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
